1 2 3 4 5 6 7 8 9 10 
5775929514 5784459325 4839223356 2275300467 2635440459 2404201895 7016782197 2746727011 5411153899 2637477710 
0.33 0.42 0.42 0.21 0.25 0.21 0.50 0.17 0.38 0.17 
1 2 3 4 5 6 7 8 9 10 
24 24 24 24 24 24 24 24 24 24 
7590550091 2107118014 2347504819 7500661235 2341227290 5131464002 5607782256 2834223588 6293336395 3325315732 
0.46 0.17 0.29 0.50 0.25 0.50 0.46 0.21 0.46 0.29 
1 2 3 4 5 6 7 8 9 10 
25 25 25 25 25 25 25 25 25 25 
2098785511 1117451686 3554309147 5533312600 1209926373 6747139199 5168489366 5537434579 1469760234 5504369714 
0.17 0.12 0.21 0.42 0.12 0.46 0.29 0.38 0.08 0.38 
1 2 3 4 5 6 7 8 9 10 
26 26 26 26 26 26 26 26 26 26 
1870935112 2121980190 7205313741 2335954342 5842931923 2529811243 4383900948 3069206483 5515138381 642393661 
0.17 0.21 0.50 0.25 0.46 0.17 0.21 0.29 0.42 0.12 
1 2 3 4 5 6 7 8 9 10 
27 27 27 27 27 27 27 27 27 27 
4770943984 4076429500 2269167532 2019609488 948042047 1338532721 5075657085 3134530485 731627900 3037249757 
0.46 0.33 0.21 0.21 0.08 0.08 0.46 0.29 0.08 0.21 
1 2 3 4 5 6 7 8 9 10 
28 28 28 28 28 28 28 28 28 28 
387503405 2069872452 1423557846 6967737499 6340369226 6411695598 4270117433 6396835976 6130682680 6628701651 
0.08 0.17 0.12 0.50 0.46 0.46 0.29 0.50 0.50 0.42 
1 2 3 4 5 6 7 8 9 10 
29 29 29 29 29 29 29 29 29 29 
1660235909 6562208225 5191036570 5704016601 3401633209 3437685069 3275403852 1562786539 7926889799 3646704835 
0.12 0.42 0.42 0.46 0.21 0.29 0.25 0.17 0.50 0.38 
1 2 3 4 5 6 7 8 9 10 
30 30 30 30 30 30 30 30 30 30 
6709359271 4139511868 2698295203 1349573908 4675009624 1624979055 3614117890 4768036315 2842425916 2565930872 
0.46 0.33 0.17 0.12 0.33 0.21 0.25 0.42 0.21 0.29 
1 2 3 4 5 6 7 8 9 10 
31 31 31 31 31 31 31 31 31 31 
5925799311 2192100287 1555677377 1530054351 4944428978 5552121121 2871967727 7043626702 2992970420 1687945594 
0.42 0.12 0.08 0.12 0.42 0.42 0.25 0.50 0.21 0.25 
1 2 3 4 5 6 7 8 9 10 
32 32 32 32 32 32 32 32 32 32 
1803378349 1308443341 138645005 6171766549 936909165 3993622397 5945441694 677085054 3755843687 888135367 
0.25 0.21 0.08 0.50 0.12 0.38 0.50 0.08 0.42 0.08 
1 2 3 4 5 6 7 8 9 10 
33 33 33 33 33 33 33 33 33 33 
4477807013 2312708542 6692145107 4125291116 4688004966 2794149074 2994568059 2646038501 3474586470 4927164677 
0.38 0.21 0.46 0.42 0.46 0.21 0.21 0.12 0.33 0.42 
1 2 3 4 5 6 7 8 9 10 
34 34 34 34 34 34 34 34 34 34 
3611966471 3382253675 1749244273 1424351335 2886651538 1202789392 1654721163 3974202305 2149110502 4862965607 
0.33 0.42 0.12 0.12 0.29 0.12 0.08 0.42 0.21 0.42 
1 2 3 4 5 6 7 8 9 10 
35 35 35 35 35 35 35 35 35 35 
4676078399 3232759659 1798138670 4394798667 4675724269 3349832830 5429233512 2157664165 4232350474 3768306729 
0.46 0.29 0.21 0.46 0.33 0.25 0.46 0.17 0.33 0.42 
1 2 3 4 5 6 7 8 9 10 
36 36 36 36 36 36 36 36 36 36 
5474042283 3711668661 2082555864 1323506902 5819760482 4895668484 4210255165 5551442853 3758437462 1114827900 
0.50 0.46 0.25 0.12 0.50 0.42 0.50 0.46 0.38 0.08 
1 2 3 4 5 6 7 8 9 10 
37 37 37 37 37 37 37 37 37 37 
3938199646 6653832123 2462871880 3009447520 4634299632 4861671123 5551610048 5172968216 3918848563 4944694362 
0.29 0.42 0.17 0.21 0.33 0.42 0.46 0.42 0.25 0.38 
1 2 3 4 5 6 7 8 9 10 
38 38 38 38 38 38 38 38 38 38 
2258167843 1301293683 4701118499 5085632290 4712671111 2014565302 3903676883 2964314165 3489870887 3213924844 
0.17 0.08 0.38 0.33 0.33 0.17 0.33 0.21 0.33 0.33 
1 2 3 4 5 6 7 8 9 10 
39 39 39 39 39 39 39 39 39 39 
1709518557 4988803619 3807720138 618135093 2860587267 1777730607 1751475228 2247024528 5220917948 5872978131 
0.17 0.38 0.29 0.08 0.29 0.08 0.17 0.17 0.42 0.46 
1 2 3 4 5 6 7 8 9 10 
40 40 40 40 40 40 40 40 40 40 
836989875 3674109086 2724576621 2703731814 3033577500 3306238324 5057829901 4869749021 4192037942 3502272069 
0.08 0.42 0.29 0.33 0.29 0.29 0.42 0.42 0.38 0.29 
1 2 3 4 5 6 7 8 9 10 
41 41 41 41 41 41 41 41 41 41 
3836487505 5800082211 3569618879 3635064484 5275595190 3312253254 3999428681 6722640023 6753047760 3755089638 
0.21 0.38 0.29 0.25 0.38 0.33 0.33 0.46 0.50 0.25 
1 2 3 4 5 6 7 8 9 10 
42 42 42 42 42 42 42 42 42 42 
3835586149 5114454039 3517974535 3306429111 1460575090 3187821595 2221287048 5864629647 7042771808 1816563194 
0.21 0.33 0.38 0.25 0.08 0.33 0.12 0.33 0.42 0.12 
1 2 3 4 5 6 7 8 9 10 
43 43 43 43 43 43 43 43 43 43 
2885738094 2562557838 5321996494 5143781329 4189517150 3699815592 4709653528 3141447473 1867712406 3908659727 
0.25 0.17 0.42 0.46 0.29 0.29 0.42 0.25 0.21 0.38 
1 2 3 4 5 6 7 8 9 10 
44 44 44 44 44 44 44 44 44 44 
4343589532 1398277740 3943307892 3827825141 1667696509 2454530863 3768556096 1519902022 1400149468 4261075881 
0.46 0.17 0.33 0.38 0.12 0.17 0.33 0.17 0.12 0.38 
1 2 3 4 5 6 7 8 9 10 
45 45 45 45 45 45 45 45 45 45 
1859270402 5593565868 4930751393 2495995212 2925182482 4932253500 4009389231 1605482505 4488837665 2074803228 
0.12 0.50 0.33 0.21 0.21 0.33 0.29 0.08 0.29 0.12 
1 2 3 4 5 6 7 8 9 10 
46 46 46 46 46 46 46 46 46 46 
1102853890 6715204059 1299491118 3265869879 5449157872 4514452131 5094558982 6339301674 2469924772 3984591329 
0.08 0.50 0.21 0.29 0.42 0.29 0.46 0.50 0.12 0.38 
1 2 3 4 5 6 7 8 9 10 
47 47 47 47 47 47 47 47 47 47 
5293854646 1746756749 1589620979 1417795203 2971179190 2722067054 5244221517 7235663717 7075836090 4462285660 
0.46 0.17 0.12 0.17 0.21 0.25 0.46 0.50 0.50 0.33 
1 2 3 4 5 6 7 8 9 10 
48 48 48 48 48 48 48 48 48 48 
4669696743 6247416779 5450630866 5364575484 3457279708 5667344261 6301568074 2202832757 1450969950 2505203500 
0.38 0.42 0.46 0.38 0.29 0.33 0.42 0.12 0.08 0.17 
1 2 3 4 5 6 7 8 9 10 
49 49 49 49 49 49 49 49 49 49 
1484720863 3076541198 2851366966 4298280582 4814270904 3334878324 4552725863 3503022339 5650754159 2129808865 
0.25 0.25 0.29 0.50 0.42 0.29 0.46 0.38 0.46 0.12 
1 2 3 4 5 6 7 8 9 10 
50 50 50 50 50 50 50 50 50 50 
2660446436 850760534 2807769446 4191730027 3404026566 2554690531 2425365972 3408544928 1609990713 4297695187 
0.29 0.12 0.17 0.50 0.38 0.17 0.21 0.38 0.08 0.50 
